,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,comments
10,False,100-500,True,True,Yes,Yes,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,True,Yes,True,True,5.0,5.0,,,,,,,,,False,,,,,,,,,,,,,,,Possibly,,,,,Possibly,True,No,Not applicable to me,Sometimes,,5,Yes,No,False,,,5,Maybe/Not sure,"Yes, I experienced",4,40,M,United Kingdom,,,United Kingdom,,
11,True,,,,,,,,,,,,,,,,,,True,I know some,Not applicable to me,,Not applicable to me,Not applicable to me,Yes,51-75%,True,True,"No, none did",N/A (none offered),Some did,Some did,No,Physical health,Some of my previous supervisors,True,At some of my previous employers,False,True,7.0,5.0,No,,,,,No,False,No,Not applicable to me,Not applicable to me,No,4,Yes,No,False,,,6,No,"Yes, I observed",2,37,male,Netherlands,,,Netherlands,,"not a formal conversation. more a 'how are you' with a colleague who happens to be in management position., can't remember in detail, teach people how to recognise issues, how to respond and/or how to find the right person to help."
12,False,More than 1000,True,True,I don't know,No,No,No,Yes,Somewhat easy,Physical health,Yes,False,Maybe,True,False,7.0,7.0,,,,,,,,,True,True,Some did,"No, I only became aware later",None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,9.0,6.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder",,Possibly,True,Yes,Not applicable to me,Often,,8,Maybe,No,False,,,7,No,Maybe/Not sure,3,31,Male,United States of America,Connecticut,White,United States of America,Connecticut,"Usually this is only with well-trusted co-workers with whom I have an established relationship. It has always been in the vein of complaining and comiseration. Co-workers in this case are supportive, I think there's a long way to go to make those of us who have a mental health issue feel safe to talk about it. It feel like a risk almost every time right now.

That may be through talking about it more to reduce stigma, or making mental health as commonplace as physical health. Explicit safety statements could be good, as well. 

Personally a large part of why I would hide mental health issues is shame. The stigma of the past is strong."
13,False,500-1000,True,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,Yes,True,Yes,True,False,7.0,5.0,,,,,,,,,False,,,,,,,,,,,,,,,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,Yes,Rarely,Often,No,6,No,No,False,,,5,No,No,4,37,Male,United States of America,Georgia,White,United States of America,Georgia,Just general discussions about my issues
14,False,100-500,True,True,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Physical health,No,False,No,False,False,7.0,7.0,,,,,,,,,True,True,"Yes, they all did",I was aware of some,None did,None did,No,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,False,10.0,2.0,Yes,Yes,,,"Post-traumatic Stress Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc)",Don't Know,True,No,Sometimes,Often,Yes,2,Yes,No,False,,,2,"Yes, I observed","Yes, I observed",3,26,female,United States of America,Pennsylvania,White,United States of America,Pennsylvania,"judging people who went to therapy, make it easier to talk about and get support for. for example, make it company policy that leaving work for therapy or mental health related appointments is okay"
15,False,100-500,False,True,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Physical health,Maybe,True,Maybe,True,False,4.0,2.0,,,,,,,,,True,False,"No, none did",N/A (none offered),Some did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,4.0,1.0,Yes,Yes,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Seasonal Affective Disorder",Possibly,False,No,Rarely,Often,No,9,Maybe,No,False,,,7,No,Maybe/Not sure,3,43,M,Canada,,,Canada,,"Burnout and latent stress. Agreed to not make a bit deal about it within the department, but could take a step back from particularly stressful projects as-needed; also, to make use of accrued sick time., Nothing formal; however, I've not hidden the fact that stressful periods take their toll--particularly as a migraine trigger., Society, in general, needs better education about ""invisible"" health matters--both mental and physical!"
16,False,100-500,True,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,True,Yes,True,True,7.0,9.0,,,,,,,,,True,False,Some did,I was aware of some,Some did,Some did,Sometimes,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,True,False,5.0,5.0,Possibly,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,True,Yes,Sometimes,Often,No,9,Maybe,No,False,,,9,"Yes, I observed","Yes, I experienced",2,35,Male,United States of America,North Carolina,White,United States of America,North Carolina,"Simply saying that I was stressed due to other things outside of work. The conversation was very supportive, and I was told that it was okay to let certain things slip if they had to. , Telling coworkers about stress outside of work. They were very supportive. , They told me they were stressed about retirement planning. Their grandparents had all died in their early 60's and they weren't sure if they would be around to enjoy retirement with that looming over them, but they didn't want to be irresponsible and not plan for retirement in case they lived a longer life., Told a previous coworker I dealt with depression pretty badly. They were supportive. , I've seen people mocked for depression and for taking mental health days when it seemed detrimental to the team., I think the tech industry encourages a very unhealthy, lone-wolf, ""me vs them"" mentality. If someone asks a ?, ""RTFM"" is still a very common attitude. Asking for help from our colleagues is an important part of who we are as humans, and yet  we discourage that in so many ways. I'd like to see fewer lone wolf heroes in the press and more stories about how someone brought a team together and made sure everyone was happy and felt safe discussing things. "
17,True,,,,,,,,,,,,,,,,,,True,"Yes, I know several",Not applicable to me,,Not applicable to me,Not applicable to me,Not applicable to me,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",False,At some of my previous employers,False,True,4.0,4.0,No,,,,,No,False,Yes,Not applicable to me,Not applicable to me,No,1,Maybe,Maybe,False,,,3,No,Maybe/Not sure,4,31,male,Turkey,,,Turkey,,
18,False,100-500,True,True,Yes,No,Yes,I don't know,Yes,Very easy,Same level of comfort for each,Yes,False,Yes,True,False,6.0,6.0,,,,,,,,,True,False,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",False,True,1.0,1.0,Possibly,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",,Possibly,False,Yes,Not applicable to me,Sometimes,No,10,No,No,False,,,10,"Yes, I observed","Yes, I observed",3,32,F,United States of America,New York,I prefer not to answer,United States of America,New York,"Talk about depression, anxiety, eating disorders quite frequently. , People would tell me about other peoples abuse problems, depression, anxiety, People weren't allowed to take enough time off and supervisors were not supportive of time off for mental health , Start-ups often lack the experienced HR people to inform employees about the extent of their benefits"
19,False,More than 1000,True,True,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Maybe,False,No,False,False,7.0,6.0,,,,,,,,,True,True,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,I don't know,Physical health,"No, none of my previous supervisors",False,"No, at none of my previous employers",True,True,6.0,5.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",Possibly,True,I don't know,Sometimes,Often,No,7,No,No,False,,,3,Maybe/Not sure,No,3,37,Male,United States of America,Wisconsin,White,United States of America,Washington,
20,False,6-25,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,True,Yes,False,False,8.0,7.0,,,,,,,,,True,True,Some did,I was aware of some,None did,Some did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,6.0,5.0,No,,,,,Don't Know,False,I don't know,Not applicable to me,Not applicable to me,No,6,No,No,False,,,5,No,No,3,41,Male,United States of America,Tennessee,White,United States of America,Tennessee,"Related to burnout. I expressed a need for time off and they were amenable., Increased information & explicit support for people with mental health issues or disorders."
21,False,100-500,True,False,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Yes,True,Yes,True,False,10.0,10.0,,,,,,,,,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",False,At some of my previous employers,True,True,1.0,1.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder",Yes,True,Yes,Rarely,Often,Yes,8,No,No,False,,,5,"Yes, I observed","Yes, I experienced",4,40,f,United States of America,New York,I prefer not to answer,United States of America,New York,"I spoke with both my direct supervisor, and with the department director, about the fact that I take medication for bipolar disorder, and both of them were supportive, shared that they also take medication for mental health, and then assured me that if I need to take time to deal with it, I can do so., Mainly just stating that I am bipolar and take medication. No one seemed to stigmatize it in any way., I spoke with one coworker, who I felt confident in her ability to keep information to herself. She was respectful but ignorant, and I did in fact feel judged later for it., It was not their own mental health; it was all gossip about someone else's mental health. It was unkind and basically came with the assumption that people with mental health issues are not capable of functioning on a level that people without mental health issues can function on., I have seen someone be terminated for enrolling in a mental health outpatient program, unsure. My current company excels in treating employees like complex people, and I am unclear on how much it is this company, and how much it is the industry. "
22,False,500-1000,True,True,I don't know,No,No,No,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,True,Yes,True,False,9.0,5.0,,,,,,,,,True,True,"No, none did","No, I only became aware later",Some did,None did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,True,At some of my previous employers,True,False,9.0,5.0,Yes,Yes,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder",Yes,True,I don't know,Sometimes,Sometimes,No,8,Yes,No,True,False,,5,"Yes, I observed",Maybe/Not sure,3,37,male,United States of America,New York,White,United States of America,New York,"I've been trying to raise awareness and convince my employer to sponsor mental-health first aid, During lunch, I bring up my past experiences with my mental health challenges, The ones I have, have been very open and interested in learning more about the help they can provide, Conversation during lunch about my past expereiences, A Person was let go because they kept taking off to visit their therapist , Increased awareness "
23,False,100-500,True,True,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,True,No,False,False,6.0,3.0,,,,,,,,,True,True,Some did,I was aware of some,None did,None did,No,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,False,5.0,2.0,Possibly,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Stress Response Syndromes, Eating Disorder (Anorexia, Bulimia, etc)",,Yes,True,Yes,Sometimes,Sometimes,No,2,No,No,False,,,3,"Yes, I experienced",No,2,53,"Let's keep it simple and say ""male""",United States of America,Oregon,White,United States of America,Oregon,"I described my neurodiversity to a former manager, he didn't believe me.

MH services have the usual barriers:  a secret EAP, a service that doesn't operate in my state, staffed by people not qualified to assess and refer., nothing notable.  Often don't know how to react., I told them that I was diagnosed with clinical depression and was getting help, A manager from the PRC was not equipped to regard his reports as humans vs robots.

Another manager is a self-styled ""libertarian"" aka ""elitist"" with a dog-eat-dog mentality., Enforce tolerance of diversity more than only X/Y chromosomes and ethnicity.  Arrange broader insurance coverage (eg. couples counseling) without EAP-like hurdles.  Recognize workplace microaggressions and address policies that exacerbate mental health issues:
* Harassment for not turning on a webcam during meetings.
* Company meals are all meat all the time.  Which makes it difficult for the rest of us to not be hungry during travel, repeatedly harassed for not eating, and drawing undue attention.  WeWork addressed this, everyone else can too.  If someone can't go for one @#$@ meal without meat, their ego disorders need to be fixed or fired.
* Stop tolerating and even encouraging bullying, which includes stack ranking. NTT and Cisco, this means YOU."
24,False,6-25,True,True,I don't know,No,No,No,I don't know,Very easy,Physical health,No,False,Yes,True,False,1.0,1.0,,,,,,,,,True,False,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,False,At some of my previous employers,False,False,0.0,0.0,No,,,,,Possibly,True,Yes,Sometimes,Often,Maybe,0,Yes,No,False,,,10,No,No,1,29,male,United States of America,Tennessee,More than one of the above,United States of America,Tennessee,"I brought up being depressed and they were receptive to helping me., De-stigmatization., I appreciate your work. I'm a mixed race individual who has be diagnosed with Depression without following up for treatment. Its hard to bring up my condition because I feel it will undermine my professional advancement."
25,False,500-1000,True,True,I don't know,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,True,Yes,True,True,5.0,9.0,,,,,,,,,True,True,Some did,N/A (was not aware),None did,Some did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",True,"Yes, at all of my previous employers",True,False,3.0,7.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder, Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,True,Yes,Rarely,Sometimes,No,10,Maybe,Maybe,True,False,,10,No,"Yes, I observed",5,37,Male,United States of America,New York,White,United States of America,New York,"I talked about being anxious and having a bout of depression and was told to take whatever time I needed, I always feel fine talking about my struggles with social anxiety and depression... usually it’s taken well, occasionally I get the “you don’t seem anxious” 🙄, I don’t remember but I know i’m Not the only one struggling , Same as above, Same as above"
26,False,100-500,False,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,Physical health,No,False,No,False,False,10.0,0.0,,,,,,,,,True,True,Some did,I was aware of some,Some did,None did,I don't know,Physical health,Some of my previous supervisors,True,At some of my previous employers,True,True,8.0,5.0,Yes,Yes,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,True,Yes,Rarely,Sometimes,Yes,10,No,No,False,,,5,Maybe/Not sure,"Yes, I experienced",4,45,female,United States of America,Wisconsin,White,United States of America,Wisconsin,"I told my previous supervisor that I would be attending therapy appts during the workday regarding grief. He was supportive and said I didn't need to disclose anything unneeded and had no issues with me taking the time to attend appts., At a previous workplace, we joked amongst ourselves about how many of us were on anti-depressants. We were overall very supportive of each other., We talked about the medications we were taking and how they were working. , Discuss common issues in the workplace - burnout, stress, anxiety.,  "
27,False,6-25,True,True,I don't know,No,No,I don't know,I don't know,Very easy,Same level of comfort for each,Yes,True,Yes,True,False,6.0,6.0,,,,,,,,,True,True,I don't know,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,"Yes, all of my previous supervisors",True,"Yes, at all of my previous employers",True,True,6.0,6.0,Possibly,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",,No,False,No,Not applicable to me,Often,No,10,No,No,False,,,10,No,"Yes, I experienced",3,26,Male,Netherlands,,,Netherlands,,"We were driving home from an OSMI presentation by @skoop, after which the ""talk"" was easy. I mentioned some personal things during said talk., During my exit at my previous company I mentioned that I had to leave because of A) commute and B) mental health., When I left my previous job I mentioned my self-diagnosed burnout., I mentioned I was starting to burnout before deciding to leave the company., They mentioned they have had help in the past whilst they were advising me to get professional help., Be. More. Open."
