,Timestamp,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What is your race?,What country do you work in?
14,2017,0,6-25,1,1,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,0,No,0,1,2.0,2.0,1,1,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,1.0,1.0,Possibly,Possibly,0,Yes,Sometimes,Sometimes,No_Answer,3,No,No,0.0,5.0,No,No,2.0,22.0,male,United Kingdom,Caucasian,United Kingdom
15,2017,0,100-500,1,1,No,No,Yes,No,I don't know,I don't know,Physical health,No,0,Maybe,0,0,10.0,5.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,1,0,2.0,0.0,Don't Know,Don't Know,1,I don't know,Not applicable to me,Not applicable to me,Yes,5,Yes,Yes,0.0,5.0,No,No,3.0,40.0,male,Canada,Caucasian,Canada
16,2017,0,6-25,1,1,No,No,No,No,Yes,Very easy,Same level of comfort for each,Yes,0,Maybe,0,0,7.0,0.0,1,0,"No, none did",N/A (none offered),None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,0,At some of my previous employers,0,0,5.0,0.0,Don't Know,Don't Know,0,Yes,Not applicable to me,Not applicable to me,No,5,Yes,Yes,0.0,5.0,No,"Yes, I observed",2.0,33.0,male,Israel,Caucasian,Israel
20,2017,0,100-500,1,1,Yes,Yes,I don't know,No,I don't know,Somewhat difficult,Physical health,No,0,No,0,0,5.0,5.0,1,1,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,4.0,4.0,Yes,Yes,1,Yes,Rarely,Sometimes,No_Answer,7,No,No,0.0,3.0,No,No,3.0,30.0,female,United States of America,Caucasian,United States of America
21,2017,0,100-500,1,1,Yes,Yes,No,No,Yes,Very easy,Physical health,Maybe,1,Maybe,0,0,5.0,5.0,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",Physical health,"Yes, all of my previous supervisors",0,"No, at none of my previous employers",0,0,8.0,5.0,Yes,Yes,1,I don't know,Rarely,Often,No_Answer,10,Yes,No,0.0,3.0,"Yes, I observed","Yes, I observed",4.0,31.0,male,United States of America,Afrcian American,United States of America
22,2017,0,100-500,1,1,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,1,Yes,1,1,5.0,2.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,I don't know,0,At some of my previous employers,1,0,3.0,0.0,Yes,Yes,1,Yes,Sometimes,Often,No,6,Maybe,No,1.0,6.0,No,"Yes, I experienced",2.0,46.0,male,Iceland,Caucasian,Iceland
25,2017,0,26-100,1,1,Yes,Yes,No,No,No,Difficult,Physical health,Yes,0,Yes,1,1,10.0,0.0,1,1,"Yes, they all did",I was aware of some,Some did,None did,I don't know,Physical health,Some of my previous supervisors,1,At some of my previous employers,1,0,8.0,3.0,Yes,Yes,1,I don't know,Rarely,Sometimes,Maybe,8,Yes,Maybe,0.0,4.0,No,"Yes, I experienced",3.0,25.0,male,United States of America,Caucasian,United States of America
27,2017,0,100-500,1,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Physical health,Yes,1,Yes,0,0,7.0,5.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,4.0,4.0,Possibly,Possibly,0,No,Rarely,Rarely,No_Answer,8,Yes,No,0.0,6.0,No,No,3.0,40.0,male,United States of America,Caucasian,United States of America
30,2017,0,500-1000,1,1,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Physical health,Maybe,0,Maybe,1,0,9.0,9.0,1,1,Some did,I was aware of some,Some did,"Yes, they all did","Yes, always",Physical health,Some of my previous supervisors,1,At some of my previous employers,1,1,6.0,6.0,Yes,Yes,1,Yes,Never,Often,Maybe,4,No,No,0.0,3.0,No,Maybe/Not sure,4.0,33.0,male,United States of America,Caucasian,United States of America
31,2017,0,100-500,1,1,Yes,Yes,Yes,Yes,Yes,Very easy,Physical health,No,0,No,1,0,8.0,8.0,1,0,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did","Yes, they all did","Yes, always",Physical health,Some of my previous supervisors,0,At some of my previous employers,1,0,8.0,8.0,Possibly,Possibly,1,I don't know,Often,Often,No,8,Maybe,No,0.0,4.0,No,No,4.0,40.0,male,United States of America,Afrcian American,United States of America
32,2017,0,500-1000,1,1,Yes,No,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,1,Maybe,1,0,5.0,4.0,1,0,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,Same level of comfort for each,Some of my previous supervisors,1,At some of my previous employers,0,1,8.0,6.0,Yes,Yes,1,I don't know,Rarely,Sometimes,No,7,Maybe,Maybe,1.0,10.0,Maybe/Not sure,Maybe/Not sure,3.0,42.0,male,United States of America,Did not answer,United States of America
37,2017,0,6-25,1,1,Yes,No,No,I don't know,I don't know,I don't know,Same level of comfort for each,No,0,Yes,1,1,6.0,7.0,1,0,"Yes, they all did",I was aware of some,None did,None did,Sometimes,Physical health,Some of my previous supervisors,1,"Yes, at all of my previous employers",1,1,6.0,6.0,Yes,Yes,1,Yes,Sometimes,Often,No,10,Maybe,No,0.0,9.0,No,"Yes, I experienced",3.0,42.0,female,United States of America,Caucasian,United States of America
38,2017,0,6-25,1,1,Yes,Yes,Yes,No,Yes,Somewhat easy,Physical health,Yes,1,Maybe,0,0,10.0,8.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,0,"No, at none of my previous employers",0,0,10.0,6.0,Yes,Yes,1,Yes,Often,Often,No,10,Yes,Maybe,0.0,6.0,"Yes, I observed","Yes, I experienced",3.0,37.0,other,Canada,Caucasian,Canada
40,2017,0,More than 1000,1,1,I don't know,No,I don't know,I don't know,I don't know,Very easy,Physical health,Maybe,0,Maybe,0,0,8.0,7.0,1,1,I don't know,N/A (was not aware),I don't know,Some did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,7.0,7.0,Don't Know,No,0,No,Not applicable to me,Not applicable to me,No_Answer,6,Yes,Maybe,0.0,6.0,Maybe/Not sure,Maybe/Not sure,4.0,47.0,male,United Kingdom,Caucasian,United Kingdom
41,2017,0,500-1000,1,1,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,Physical health,No,0,No,0,1,5.0,2.0,1,1,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,1,5.0,0.0,Yes,Yes,1,No,Rarely,Sometimes,Maybe,5,Maybe,Maybe,0.0,3.0,"Yes, I observed","Yes, I observed",3.0,64.0,male,United Kingdom,Caucasian,United Kingdom
43,2017,0,100-500,1,1,Yes,Yes,Yes,I don't know,Yes,Very easy,Physical health,Maybe,0,Yes,0,1,7.0,7.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,8.0,5.0,No,No,0,No,Not applicable to me,Not applicable to me,No_Answer,5,Yes,Maybe,0.0,8.0,No,"Yes, I observed",2.0,37.0,male,United Kingdom,Caucasian,United Kingdom
44,2017,0,26-100,1,1,Yes,Yes,Yes,Yes,I don't know,Very easy,Mental health,Yes,1,Yes,1,1,9.0,9.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Same level of comfort for each,Some of my previous supervisors,1,At some of my previous employers,1,1,5.0,5.0,Yes,Yes,1,Yes,Sometimes,Often,No,9,No,No,0.0,8.0,No,"Yes, I experienced",4.0,30.0,female,United Kingdom,Caucasian,United Kingdom
46,2017,0,26-100,1,1,No,No,No,Yes,Yes,Very easy,Physical health,Maybe,0,No,0,0,10.0,10.0,1,1,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,10.0,0.0,Yes,Don't Know,0,Yes,Often,Often,No,1,Maybe,No,0.0,8.0,"Yes, I observed","Yes, I observed",3.0,25.0,female,United Kingdom,Caucasian,United Kingdom
47,2017,0,500-1000,1,0,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Same level of comfort for each,Yes,1,Maybe,1,1,5.0,6.0,1,0,Some did,I was aware of some,None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,6.0,4.0,Yes,No,1,I don't know,Rarely,Rarely,No,7,No,Yes,0.0,5.0,No,No,3.0,61.0,male,United Kingdom,Caucasian,United Kingdom
48,2017,0,More than 1000,1,1,No,No,No,No,I don't know,I don't know,Mental health,Maybe,0,No,0,0,8.0,4.0,1,1,"No, none did","No, I only became aware later",None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,0,0,9.0,3.0,No,No,0,No,Not applicable to me,Not applicable to me,Yes,7,No,No,0.0,4.0,No,No,3.0,26.0,male,India,Caucasian,India
50,2017,0,26-100,1,1,Yes,No,No,No,I don't know,Somewhat easy,Same level of comfort for each,Yes,1,Maybe,1,0,9.0,7.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,1,At some of my previous employers,1,1,10.0,6.0,Yes,Yes,1,Yes,Often,Often,Yes,10,Yes,Maybe,1.0,10.0,"Yes, I experienced","Yes, I observed",3.0,26.0,female,Portugal,Caucasian,Portugal
51,2017,0,6-25,1,1,I don't know,No,No,I don't know,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,0,Maybe,0,0,7.0,5.0,1,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,0,At some of my previous employers,1,0,7.0,5.0,No,Possibly,1,I don't know,Sometimes,Sometimes,No,3,No,No,0.0,3.0,No,Maybe/Not sure,4.0,35.0,female,United States of America,Caucasian,United States of America
52,2017,0,26-100,1,1,Yes,Yes,No,No,I don't know,Very easy,Physical health,Maybe,0,Maybe,1,1,5.0,2.0,1,1,Some did,I was aware of some,None did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,1,1,5.0,2.0,No,No,0,No,Not applicable to me,Not applicable to me,No,6,No,No,0.0,6.0,Maybe/Not sure,"Yes, I experienced",1.0,45.0,male,United States of America,Caucasian,United States of America
58,2017,0,26-100,1,1,I don't know,No,No,No,I don't know,I don't know,Physical health,No,0,No,0,0,10.0,2.0,1,0,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Same level of comfort for each,Some of my previous supervisors,0,"No, at none of my previous employers",0,0,8.0,6.0,Possibly,Yes,1,Yes,Sometimes,Often,Yes,2,Maybe,No,0.0,3.0,"Yes, I experienced",No,1.0,33.0,female,United States of America,Caucasian,United States of America
59,2017,0,More than 1000,1,1,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,1,Maybe,1,0,7.0,3.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,5.0,3.0,Yes,Possibly,1,No,Sometimes,Rarely,Maybe,3,No,No,0.0,4.0,"Yes, I experienced",No,3.0,32.0,male,Czech Republic,Caucasian,Germany
60,2017,0,More than 1000,1,1,Yes,Yes,I don't know,No,I don't know,Somewhat easy,Physical health,No,1,No,0,0,5.0,5.0,1,1,I don't know,N/A (was not aware),Some did,"Yes, they all did",I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,8.0,7.0,Yes,Possibly,0,I don't know,Rarely,Often,No_Answer,5,No,No,0.0,3.0,"Yes, I observed","Yes, I observed",2.0,26.0,female,United States of America,Asian,United States of America
61,2017,0,100-500,1,1,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,0,Maybe,0,0,4.0,3.0,1,1,Some did,I was aware of some,Some did,Some did,I don't know,Physical health,"No, none of my previous supervisors",0,At some of my previous employers,1,0,7.0,2.0,Yes,Yes,1,Yes,Rarely,Often,Yes,8,Yes,No,0.0,4.0,"Yes, I observed",No,2.0,50.0,male,United States of America,Caucasian,United States of America
62,2017,0,100-500,1,1,I don't know,Yes,I don't know,I don't know,I don't know,Somewhat easy,Physical health,Yes,0,Yes,0,0,9.0,8.0,1,1,I don't know,N/A (was not aware),Some did,Some did,I don't know,Same level of comfort for each,Some of my previous supervisors,1,At some of my previous employers,1,0,9.0,9.0,Yes,Yes,1,Yes,Rarely,Not applicable to me,No_Answer,10,Maybe,No,0.0,8.0,No,"Yes, I experienced",4.0,31.0,male,United States of America,Caucasian,United States of America
63,2017,0,26-100,1,1,Yes,No,No,No,Yes,Somewhat easy,Physical health,No,0,Maybe,0,0,7.0,4.0,1,0,Some did,I was aware of some,None did,Some did,No,Same level of comfort for each,"No, none of my previous supervisors",0,At some of my previous employers,0,1,4.0,4.0,Yes,Yes,1,Yes,Rarely,Often,Maybe,7,Maybe,No,0.0,6.0,No,"Yes, I experienced",2.0,30.0,male,United States of America,Caucasian,United States of America
64,2017,0,More than 1000,1,1,Yes,No,No,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,0,Maybe,0,1,8.0,5.0,1,0,Some did,I was aware of some,Some did,Some did,"Yes, always",Physical health,Some of my previous supervisors,1,At some of my previous employers,1,1,8.0,5.0,Yes,Yes,1,I don't know,Sometimes,Often,No,7,Maybe,No,0.0,7.0,No,"Yes, I observed",2.0,30.0,male,United States of America,Caucasian,United States of America
65,2017,0,100-500,1,1,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,Yes,1,Maybe,1,1,8.0,4.0,1,1,"No, none did",I was aware of some,None did,Some did,Sometimes,Physical health,Some of my previous supervisors,1,"No, at none of my previous employers",0,0,8.0,6.0,Yes,Yes,1,No,Rarely,Often,No_Answer,7,Maybe,Maybe,0.0,6.0,"Yes, I observed","Yes, I observed",3.0,34.0,male,Germany,Caucasian,Germany
67,2017,0,More than 1000,1,1,Yes,Yes,Yes,Yes,No,Somewhat difficult,Physical health,Maybe,1,Maybe,0,0,8.0,6.0,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,I don't know,Mental health,Some of my previous supervisors,1,At some of my previous employers,0,0,9.0,8.0,Yes,Yes,1,Yes,Sometimes,Often,No,8,Maybe,No,0.0,5.0,"Yes, I experienced","Yes, I experienced",3.0,24.0,female,United States of America,Caucasian,United States of America
68,2017,0,100-500,1,1,Yes,Yes,No,No,I don't know,Somewhat easy,Physical health,No,0,No,1,1,10.0,6.0,1,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,8.0,3.0,Yes,Yes,1,Yes,Rarely,Often,Yes,4,No,No,0.0,6.0,No,Maybe/Not sure,2.0,31.0,female,United States of America,Caucasian,United States of America
69,2017,0,26-100,1,1,No,No,No,No,I don't know,I don't know,Physical health,No,0,Maybe,0,0,2.0,6.0,1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,2.0,6.0,Possibly,No,0,I don't know,Rarely,Sometimes,Maybe,3,Yes,No,0.0,3.0,Maybe/Not sure,Maybe/Not sure,3.0,31.0,male,Finland,Caucasian,Finland
70,2017,0,100-500,1,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Physical health,Maybe,1,Yes,1,1,5.0,4.0,1,1,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",1,1,2.0,0.0,Yes,Yes,1,Yes,Sometimes,Often,Yes,6,Maybe,Maybe,1.0,3.0,"Yes, I experienced","Yes, I observed",2.0,27.0,female,United States of America,Caucasian,United States of America
72,2017,0,1-5,1,1,No,No,No,I don't know,I don't know,I don't know,Physical health,No,0,No,0,0,4.0,5.0,1,1,I don't know,N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,0,0.0,0.0,Possibly,Don't Know,0,I don't know,Rarely,Often,No_Answer,0,Maybe,No,0.0,0.0,"Yes, I observed",No,2.0,37.0,male,United States of America,Caucasian,United States of America
74,2017,0,More than 1000,1,1,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Physical health,Yes,1,Maybe,1,1,7.0,5.0,1,0,"No, none did",N/A (was not aware),None did,None did,I don't know,Physical health,Some of my previous supervisors,0,At some of my previous employers,0,0,7.0,2.0,Yes,No,1,Yes,Rarely,Sometimes,No,8,No,No,0.0,7.0,Maybe/Not sure,"Yes, I experienced",4.0,34.0,male,United States of America,Caucasian,United States of America
75,2017,0,More than 1000,1,1,Yes,Yes,No,Yes,I don't know,Difficult,Same level of comfort for each,No,0,No,0,1,5.0,5.0,1,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,No,Physical health,"No, none of my previous supervisors",0,"No, at none of my previous employers",0,1,5.0,5.0,No,Possibly,1,Yes,Rarely,Sometimes,Yes,3,No,No,0.0,0.0,"Yes, I observed",No,1.0,38.0,female,Germany,Caucasian,Germany
76,2017,0,26-100,1,1,I don't know,No,No,I don't know,Yes,Neither easy nor difficult,Physical health,Maybe,0,Maybe,0,0,4.0,5.0,1,1,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,1,At some of my previous employers,0,0,6.0,3.0,Possibly,No,1,I don't know,Rarely,Sometimes,No_Answer,8,Maybe,No,0.0,3.0,"Yes, I observed",No,2.0,30.0,male,United States of America,Caucasian,United States of America
79,2017,0,More than 1000,1,1,Yes,Yes,No,No,Yes,I don't know,Physical health,Yes,1,Maybe,1,1,8.0,5.0,1,1,Some did,I was aware of some,None did,Some did,"Yes, always",Physical health,Some of my previous supervisors,0,At some of my previous employers,1,1,6.0,4.0,Yes,Yes,1,Yes,Often,Often,Yes,8,Yes,No,0.0,6.0,"Yes, I experienced","Yes, I experienced",2.0,44.0,male,United States of America,Caucasian,United States of America
