,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",comments
10,0,More than 1000,1.0,1.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Physical health,Maybe,1.0,Maybe,1.0,1.0,6.0,3.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,8.0,3.0,Yes,Yes,Possibly,1,Yes,Rarely,Sometimes,,8,No,No,0,,,7,No,No,2,45,Male,United States of America,Washington,White,United States of America,Washington,,,"Mood Disorder (Depression, Bipolar Disorder, etc)","Too long ago, don’t remember , I asked first how they felt about mental health issues to gauge them. Then we talked about my issue, and his daughters. , My boss (whom I previously disclosed an episode of depression with) asked me about medication side effects. , Model it, talk about it. "
11,0,500-1000,0.0,1.0,No,No,No,No,I don't know,Very easy,Physical health,Maybe,0.0,No,0.0,0.0,6.0,0.0,,,,,,,,,1,0.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,At some of my previous employers,1.0,0.0,6.0,0.0,Yes,Yes,Yes,1,I don't know,Sometimes,Often,,7,Yes,No,0,,,4,No,"Yes, I experienced",2,31,Male,Germany,,,Germany,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Eating Disorder (Anorexia, Bulimia, etc), Obsessive-Compulsive Disorder","We mostly talked about how my anxiety/depression affected me and my work., We need a safe space to discuss it, we cannot be afraid of openly talk about. We are only allowed to talk about mental health to psychologists and psychiatrists, even discussing it with family is not as open as it should be."
12,1,,,,,,,,,,,,,,,,,,1.0,I know some,Not applicable to me,,Not applicable to me,Not applicable to me,No,,1,1.0,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,1.0,1.0,2.0,2.0,No,,No,0,Yes,Not applicable to me,Not applicable to me,,4,Yes,No,0,,,6,Maybe/Not sure,"Yes, I observed",2,38,Female,Canada,,,Canada,,,,,Stop encouraging 'crunch' mentality & incentivising extreme overtime & neglect of vacation time.
13,0,More than 1000,0.0,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,Physical health,Maybe,0.0,Yes,0.0,1.0,7.0,6.0,,,,,,,,,0,,,,,,,,,,,,,,,Possibly,,Possibly,0,Yes,Rarely,Sometimes,Maybe,2,Yes,No,0,,,6,Maybe/Not sure,"Yes, I observed",3,26,Male,Germany,,,Germany,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",,"A colleague openly said he was diagnosed with severe depression. There was no actual conversation about the disorder itself though. , Make sure that talking openly about it has no negative effect on the work, applications and the likes. , I want to thank you wholeheartedly for the work you have been doing and hope that your work will help many people all over the work. Thank you! "
14,0,100-500,1.0,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Physical health,No,0.0,No,0.0,1.0,6.0,0.0,,,,,,,,,0,,,,,,,,,,,,,,,Possibly,,Yes,1,No,Sometimes,Sometimes,No,8,Yes,No,0,,,6,No,No,1,27,female,Serbia,,,Serbia,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,One coworker talked about her history with panic attacks
15,0,6-25,0.0,1.0,Yes,No,No,No,I don't know,Somewhat difficult,Same level of comfort for each,Maybe,0.0,Maybe,1.0,0.0,5.0,0.0,,,,,,,,,1,1.0,Some did,N/A (was not aware),None did,None did,I don't know,Same level of comfort for each,"No, none of my previous supervisors",0.0,At some of my previous employers,0.0,0.0,7.0,1.0,Yes,Yes,Yes,1,Yes,Sometimes,Often,No,9,Maybe,No,0,,,5,"Yes, I experienced",No,2,35,Male,Canada,,,Canada,,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder","It was a discussion somewhat in passing. A brief mention of anxiety, but no details byond that regarding severity or how it affects me., A past employer was upset I was disorganized and forgetting things. I explained my ADHD and that I need help. I was told it was 100% up to me to manage my work., Discuss issues more openly. Allow for more modified work environments (work from home, etc.)"
16,0,26-100,0.0,1.0,Yes,No,No,Yes,I don't know,Neither easy nor difficult,Physical health,No,0.0,No,0.0,0.0,6.0,4.0,,,,,,,,,1,0.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,5.0,5.0,Yes,Yes,Yes,0,Yes,Rarely,Rarely,Yes,8,No,No,0,,,4,Maybe/Not sure,No,4,47,Male,United States of America,Florida,White,United States of America,Florida,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Attention Deficit Disorder (Non-Hyperactive)","It seems to me, after 28-years in the IT field, that there is a much more open and honest dialogue about mental issues, perhaps due to the predilection of many with anxiety, mild functional autism, or Asperger's to gravitate to the field.

In other fields, these types of mental disorders are typically seen as weaknesses.  In many cases, people in other fields, through TV/sitcoms movies, etc., have been exposed to the higher incidence rates for certain issues in the tech industry, but mainly as a source of humor.  The tech industry should show that some of these issues can actually be pulled on as a source of strength, both as the direct result of the issue (say, hyper-focus perhaps) or through the strength of character that is cultivated in learning to overcome these issues/challenges.  , For classification purposes - I am a mid-40's male, with diagnosed anxiety and ADD.   I have done extensive research which leads me to strongly suspect that I am in the high-functioning end of the Asperger's spectrum.  Being high-functioning, I have progressed professionally into a management position for both technical and non-technical areas or responsibility.  I also have been happily married for nearly 25-years and have raised two successful normal children that work and contribute to society."
17,0,More than 1000,1.0,1.0,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Physical health,Maybe,0.0,Maybe,0.0,1.0,10.0,10.0,,,,,,,,,1,1.0,"No, none did","No, I only became aware later",None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,At some of my previous employers,0.0,0.0,10.0,8.0,Yes,Yes,Yes,1,I don't know,Never,Often,No,8,Yes,No,0,,,5,Maybe/Not sure,"Yes, I observed",3,37,Male,United States of America,Florida,I prefer not to answer,United States of America,Florida,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)","Discuss mental health as frequently and openly as physical health, and explicitly call out things like ""taking a mental health day"" as a perfectly valid and encouraged reason for using sick time."
18,0,500-1000,0.0,1.0,No,No,No,No,No,Difficult,Physical health,No,0.0,No,0.0,0.0,4.0,3.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,No,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,7.0,4.0,Don't Know,,No,0,Yes,Not applicable to me,Not applicable to me,No,7,No,No,0,,,6,No,No,3,32,Male,Colombia,,,Colombia,,,,,
19,1,,,,,,,,,,,,,,,,,,1.0,I know some,"Sometimes, if it comes up",No change,"Sometimes, if it comes up",I'm not sure,Yes,51-75%,1,1.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,Some of my previous supervisors,1.0,At some of my previous employers,0.0,0.0,6.0,0.0,Yes,Yes,Yes,1,I don't know,Sometimes,Often,Maybe,10,Yes,Maybe,0,,,7,Maybe/Not sure,No,3,46,Male,United Kingdom,,,United Kingdom,,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Psychotic Disorder (Schizophrenia, Schizoaffective, etc)","It was an admission on my part of serious depression, only after it had become completely obvious and badly affected my work."
20,0,26-100,1.0,1.0,Yes,No,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,No,0.0,Yes,1.0,1.0,2.0,0.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,5.0,4.0,Yes,Yes,Yes,1,Yes,Rarely,Sometimes,Yes,8,Yes,Maybe,0,,,6,No,"Yes, I experienced",3,37,Male,United States of America,Tennessee,White,United States of America,Tennessee,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",Provide mental health days and wellness programs. Remove any lingering stigma around mental health by having influencers be open about their struggles.
21,0,100-500,1.0,1.0,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Physical health,Yes,0.0,Maybe,0.0,0.0,5.0,5.0,,,,,,,,,1,1.0,"Yes, they all did","Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Physical health,Some of my previous supervisors,1.0,At some of my previous employers,1.0,0.0,7.0,5.0,Yes,Yes,Yes,1,Yes,Rarely,Often,No,8,No,No,0,,,4,No,No,4,36,male,United States of America,New Hampshire,White,United States of America,Massachusetts,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)","Needing to leave a job due to mental health situations., feeling of anxiety or depression related to current office state or deadlines, in office therapists?"
22,1,,,,,,,,,,,,,,,,,,1.0,I know some,"Sometimes, if it comes up",No change,"Sometimes, if it comes up",I'm not sure,Yes,26-50%,1,1.0,I don't know,N/A (was not aware),Some did,None did,"Yes, always",Same level of comfort for each,"Yes, all of my previous supervisors",1.0,At some of my previous employers,1.0,0.0,7.0,7.0,No,,Yes,1,Yes,Rarely,Often,Maybe,9,Yes,Yes,0,,,7,Maybe/Not sure,Maybe/Not sure,3,29,Malel,Poland,,,Poland,,,,,
23,0,100-500,1.0,1.0,Yes,No,No,No,I don't know,Very easy,Physical health,No,0.0,No,0.0,1.0,4.0,1.0,,,,,,,,,1,1.0,Some did,I was aware of some,Some did,Some did,"Yes, always",Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,1.0,4.0,2.0,Possibly,,Don't Know,1,I don't know,Not applicable to me,Not applicable to me,No,6,Yes,No,0,,,4,"Yes, I observed",No,2,45,Male,United States of America,Wisconsin,I prefer not to answer,United States of America,Wisconsin,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc)",,"General discussions about depression, Discussions about depression, suicidal thoughts, stress related issues., There is not really any sort of support for mental health issues at my place of employment. There is a phone number you can call if you want to talk to a third party help line and that is about it. I see people here that are clearly suffering but the prevalent attitude is that you should just suck it up and keep plodding along., I think the biggest step would be to recognize that demanding long hours and constantly high levels of performance from people is not sustainable. I also think more could be done to be supportive to people experiencing issues and more education in the tech industry on the significance of mental health issues would be great. "
24,0,6-25,0.0,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Physical health,Maybe,0.0,Maybe,0.0,0.0,5.0,5.0,,,,,,,,,1,0.0,I don't know,N/A (was not aware),None did,None did,I don't know,Physical health,I don't know,0.0,At some of my previous employers,0.0,0.0,5.0,5.0,No,,No,0,No,Not applicable to me,Not applicable to me,,6,Maybe,No,0,,,5,No,No,3,30,Male,United States of America,Massachusetts,White,United States of America,Massachusetts,,,,"Talk about it more openly during new hire onboarding and annual benefits selection — some signs to be aware of and resources available., No"
25,0,6-25,1.0,1.0,No,No,Yes,No,I don't know,Very easy,Physical health,Maybe,0.0,Maybe,0.0,1.0,7.0,5.0,,,,,,,,,0,,,,,,,,,,,,,,,No,,Yes,1,I don't know,Rarely,Often,No,7,No,No,0,,,7,Maybe/Not sure,Maybe/Not sure,3,46,male,Germany,,,Germany,,,,,
26,0,26-100,1.0,1.0,No,,No,No,I don't know,Difficult,Physical health,No,0.0,Maybe,0.0,0.0,5.0,2.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,3.0,1.0,No,,No,0,No,Often,Often,,5,No,No,0,,,3,No,No,1,29,male,India,,,India,,,,,Conduct some family events occasionally.
27,0,More than 1000,1.0,1.0,I don't know,,No,No,Yes,Somewhat easy,Same level of comfort for each,No,0.0,Maybe,1.0,1.0,8.0,6.0,,,,,,,,,1,1.0,"No, none did",N/A (none offered),Some did,None did,Sometimes,Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,8.0,6.0,Possibly,,Possibly,0,I don't know,Rarely,Sometimes,Yes,5,No,No,0,,,3,Maybe/Not sure,Maybe/Not sure,2,26,male,Ukraine,,,Ukraine,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",,
28,1,,,,,,,,,,,,,,,,,,1.0,I know some,"No, because it would impact me negatively",No change,"No, because it would impact me negatively",Not applicable to me,No,,1,1.0,"No, none did","No, I only became aware later",None did,None did,No,Same level of comfort for each,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,5.0,1.0,Yes,Yes,Yes,1,Yes,Sometimes,Rarely,,9,Maybe,No,0,,,0,Maybe/Not sure,No,2,26,Male,United States of America,Connecticut,White,United States of America,Connecticut,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Post-traumatic Stress Disorder, Aspergers Syndrome","I think they could provide more support with helping guide employees with mental health issues toward blending in with the rest of the workforce instead of treating us like we are crippled or inferior to those who don't identify as having these issues, and generally provide more support and guidance as well as not discriminating in their hiring practices at the start. "
